Date,AAPL.US,MSFT.US,NVDA.US,JPM.US,GS.US,BAC.US,JNJ.US,UNH.US,AMZN.US,MCD.US,XOM.US,CVX.US,CAT.US,HON.US,T.US
2025-08-13,232.6717,517.5734,181.5598,286.3647,733.2121,46.4731,171.1468,266.2322,224.56,299.8752,104.9838,150.9744,410.7699,203.7958,27.4843
2025-08-14,232.1233,519.4624,181.9898,289.9427,735.6834,46.9355,171.4412,265.9188,230.98,303.6891,104.7692,150.2867,414.543,202.3675,27.823
2025-08-15,230.9367,517.1657,180.42,286.3253,719.4574,46.178,173.3252,297.7715,231.03,303.6695,104.8677,151.6331,404.9017,202.0876,27.9391
2025-08-18,230.2386,514.1135,181.9798,287.3504,719.6937,47.1421,172.9425,302.1595,231.49,303.4434,105.0942,150.4417,409.7174,201.7426,27.9875
2025-08-19,229.9096,506.8258,175.6108,286.4929,710.2613,47.2995,174.4634,297.9968,228.01,305.6354,105.7835,148.8649,413.1429,202.0596,28.0455
2025-08-20,225.3724,502.7992,175.3709,288.0502,709.5721,47.5651,175.4839,293.6871,223.81,307.7488,106.8766,150.0597,417.6111,202.3019,28.3359
2025-08-21,224.2655,502.1519,174.9509,287.2913,704.915,47.4765,175.5722,297.125,221.95,307.8864,107.5659,152.3417,414.9302,202.6935,28.4907
2025-08-22,227.1175,505.1295,177.9604,291.9929,730.4552,48.6767,175.9254,301.1115,228.84,308.722,109.5847,154.9174,432.5843,207.737,27.8423
2025-08-25,226.5192,502.1718,179.7801,290.6721,727.403,48.6767,175.0619,298.604,227.94,308.1027,110.0377,154.937,429.2381,205.6674,27.8133
2025-08-26,228.6631,499.961,181.7398,294.2895,737.4064,49.4342,174.4491,294.2649,228.71,307.6112,109.7915,154.1143,428.2055,207.4854,27.6391
2025-08-27,229.8398,504.6415,181.5698,294.9893,738.1153,49.5621,174.7456,297.6441,229.12,306.1269,111.0323,155.9556,429.6055,206.2641,28.123
2025-08-28,231.9039,507.5295,180.1401,296.7536,739.6414,49.6703,173.4211,296.0868,231.6,306.9035,111.6232,156.0339,431.8296,206.3573,28.0068
2025-08-29,231.4851,504.5917,174.1511,297.0986,737.6914,49.9163,175.1212,303.5112,229.0,308.201,112.5488,157.2875,416.072,204.6326,28.3456
2025-09-02,229.0719,503.0282,170.7516,295.4033,723.4374,49.6015,176.001,302.4632,225.34,312.1328,112.9427,158.4921,413.1032,202.8613,28.1423
2025-09-03,237.7972,503.2573,170.5916,295.216,723.1504,49.2473,175.9416,301.5621,225.99,312.7556,110.2051,154.7999,412.1798,199.5051,28.1036
2025-09-04,239.1035,505.8664,171.6315,299.4642,741.3044,49.7982,176.6929,304.0108,235.68,313.3487,110.6876,154.4375,417.2437,200.5866,28.6262
2025-09-05,239.0138,492.9501,166.9922,290.1595,730.7228,49.2344,176.3667,308.918,232.33,310.7687,107.5659,150.4907,420.0834,199.7382,28.6359
2025-09-08,237.2089,496.1369,168.282,288.7106,734.3259,48.9277,176.0701,313.6782,235.84,309.2068,108.1765,150.8236,419.7856,200.2044,27.9681
2025-09-09,233.6889,496.346,170.7316,293.5798,756.172,49.7488,174.9137,340.7804,238.24,308.9301,108.9643,151.6561,415.1288,199.6916,28.4714
2025-09-10,226.1502,498.2979,177.3005,296.2312,761.7746,49.5905,173.7572,339.6638,230.33,302.4256,110.7861,154.5355,419.9146,197.3609,28.2585
2025-09-11,229.3811,498.9352,177.1505,301.1793,776.771,50.2038,176.4359,346.3536,229.95,304.887,110.4316,154.986,428.3246,200.7264,28.5391
2025-09-12,233.4097,507.7884,177.8005,302.5099,772.1483,50.0356,176.001,345.2762,228.15,301.8918,110.4513,153.8695,428.4637,197.1372,28.6165
2025-09-15,236.0322,513.2258,177.7305,304.4714,778.7804,50.0455,175.3486,342.9008,231.43,298.6001,110.6384,154.0654,432.8524,197.3983,28.6649
2025-09-16,237.4781,506.932,174.8608,304.7572,777.5629,50.1148,174.4195,334.9071,234.05,299.8061,112.9329,156.2494,437.5488,196.6618,28.3843
2025-09-17,238.3158,507.9079,170.2713,307.2805,786.1647,50.8468,175.1509,336.7108,231.62,301.4668,113.5336,156.788,447.4681,197.3423,28.5875
2025-09-18,237.2089,506.3444,176.2206,308.7393,796.1524,51.569,172.1461,330.0182,231.23,297.6808,112.1943,155.5638,463.6526,195.9625,28.2585
